locus_tag,CH4_1000ppm,CH4_500ppm,LanzaTech,MeOH,NO3_lowO2_slow_growth,NoCu,NoLanthanum,WT_control,WithLanthanum,aa3_KO,crotonic_acid,highCu,highO2_slow_growth,lowCH4,lowCu,lowO2_fast_growth,lowO2_slow_growth,medCu,slow_growth,uMax,unknown
EQU24_RS16730,-0.41861133834096664,-0.3253964628061552,-0.5341451874956347,-0.7215057952702386,-0.14744850128248688,-0.1339607701320181,0.018058012818319293,-0.6255364589173644,-0.2360756353257459,-0.7761901867208447,0.6609729147241667,-0.14016718916122867,0.5301222983413034,-0.30192042856384105,-0.1717232859750969,-0.0960586729301578,-2.402136820541967,-0.2000182073702499,-0.2988367370571474,-2.9605947323337506e-16,-2.1027590723616187
EQU24_RS16735,0.3201324843510358,0.14226598108917088,-0.39093369029067526,-0.8876225482247591,-0.22492589995733114,-0.1421638384762994,0.6509405004491144,-0.7228658623641429,0.44997503421882146,-0.29894739289244443,-0.06279665351401542,0.21769062830042465,0.609938883484433,-0.23938219563294205,-0.11170958566627787,-0.3345882293508456,-1.7847992287148682,0.10185599290937793,0.18447028553990164,1.1102230246251565e-15,-0.7106838082610702
EQU24_RS16740,1.219142959128312,0.8325567110402736,0.6188678634246698,-1.1477335853052593,0.33123896810566933,-0.1529938878018875,0.767113623568279,-0.02372179073476799,0.5645568951281283,0.3007625053560674,0.23946226305734042,0.037738240559282946,0.8095527419190551,-0.2591560401903099,-0.17221156044943903,-0.15613573937048564,-2.7003159667202943,-0.11712240990203503,0.2581079184606816,8.881784197001252e-16,-0.90724616237055
EQU24_RS16745,-0.3017763995942957,-0.3154757709312648,-0.2307554671279104,-0.9856191387708657,-0.05450253327183474,-0.5639120006125262,0.7066505884220774,-0.3570143079649384,0.6069332888260683,-0.4606362550081333,0.38241027999933674,-0.346994400474783,0.35607272425620273,-0.5854486242299686,-0.5543277831418683,-0.20351956347330172,-2.393018131191441,-0.4906284844186603,-0.4619411818259138,-1.1102230246251565e-15,-1.4362855029446049
EQU24_RS16750,-0.25621060156541153,-0.28377029124023156,0.07634336473886405,-0.7297920750679464,-0.2012730110211074,-0.5030602676064885,0.7687206219617476,-0.5273314822341226,0.6128448036527478,-0.670856630833379,0.479371083086777,-0.24414642933429623,0.3191795072650949,-0.4123866874578638,-0.4299487232604584,-0.13271480045240724,-2.3422207067332304,-0.38804315179893983,-0.44589893386839385,-7.401486830834377e-17,-1.1888132100640014
EQU24_RS16755,-0.7372576113156901,-0.757709111813289,-0.0022932039598404508,-0.7280625732223152,-0.07470245571597167,-0.3046062651982367,0.889092505054084,-0.7822050414831829,0.767114320453933,-0.7634013107489794,0.30989714041292826,-0.11619614218247776,0.33776781447168025,-0.19495124031387456,-0.19797118257067914,-0.2238067251760442,-2.078180061976341,-0.1701477913301197,-0.45416854494596404,1.4802973661668753e-16,-1.3102709123683558
EQU24_RS16765,-1.0999047400056488,-1.1650315863980953,-1.130815233217743,-1.8302333034618397,-0.6199223304287944,-0.4460289590121791,-0.3903541789867996,-0.8887021895661342,-0.7000474571487137,-0.9033855123994399,-0.10599907139577613,0.04922193551891283,-0.1540022130617491,-0.745161762234505,-0.32046227620348566,-0.5046390290141692,-3.2856038068737377,0.002419823247272111,-0.8505826972656094,-3.7007434154171886e-16,-3.241421065123896
EQU24_RS16770,0.49468772905628056,0.7501455784557356,-1.2006455708221364,-0.5501011651589486,0.559644691219503,-0.1924301580380298,1.23048942930909,0.2184643232517276,1.2274041396787512,0.310805202191327,0.9139353603810183,-0.24954700101396893,0.8742881036374441,-0.13734102018637673,-0.15991821756272773,-0.06207857412766719,-2.000838085638556,-0.16757677938161386,0.24162215961990663,-5.921189464667501e-16,-1.810977616506306
EQU24_RS16775,0.020767639103870472,0.15828857206387115,-0.29772385857803707,-0.9904109847544227,-0.3893146384786965,-0.5788968253003567,-0.24126327956810148,-0.6668215947908611,-0.5565283811557887,-0.5008420919877112,0.04589360732141756,-0.23377546497066656,-0.1385441893859125,-0.6557941529218365,-0.5672003507116163,-0.23146759825872606,-2.7406051374547764,-0.2452243589397203,-0.7278920374192999,2.590520390792032e-16,-1.4674536306834274
EQU24_RS16780,-0.08128978806848064,0.23542607990142006,0.09908277007929955,-0.5636727834076718,-0.04805641453300891,-0.794095570379028,-1.0515418111787085,-0.4548502331551516,-1.1373585918056732,-0.44992481859771694,0.17581284023223498,-0.39206808175914903,0.10161143453570998,-0.1962602508458111,-0.5862172255500855,0.025958227822818685,-2.4354586836301717,-0.3598607556786363,-0.12387111299440656,3.7007434154171886e-16,-0.6487808680649162
EQU24_RS16785,0.5957989479332846,0.9986367550087429,-0.5082626403417243,-0.2336746777008096,0.31743060627530784,-0.45790209545762356,0.165118616747635,-0.3311443612647218,-0.001238075240278036,-0.38917348920967454,0.039949931152171825,-0.32411075080771673,0.802528820900918,-0.006956876539991219,-0.29594565216482716,0.12120463891656093,-2.3931556063780954,-0.00875041029125231,0.40012138668518027,1.1102230246251565e-16,-1.338489503237836
EQU24_RS16790,2.3391597959550845,2.599403058846164,-0.051980216880017416,-1.2301299898472968,0.7787831960077116,-0.07480392826486071,0.5484153503391912,0.10335582936517751,0.5095641119440893,-0.1486297012304938,0.32257142282546614,-0.2768192070037738,1.126579431444236,-0.09413414141754217,-0.06472313041180855,0.1913291566939729,-1.5814212759926412,-0.020172262978764493,0.8601202802866923,-8.881784197001252e-16,-0.7793463387876974
EQU24_RS16795,2.9596131511676287,3.1141254941938703,1.070458111529268,-1.2382051480723146,1.635293263553497,0.775637572773665,0.9931811610234034,1.2819388344547984,1.1505767252026364,1.3675340712962059,0.4038887829754052,0.2258869678840309,2.091907808868285,0.559001232271499,0.7972156621961138,0.34977036057642613,-0.4549682728293627,0.6580047759016111,2.647431131419,8.141635513917814e-16,-1.468560006960559
EQU24_RS16800,2.1812109142574236,2.3703229084246615,0.8516275637867459,-0.8663097074287415,1.1386639125023543,0.22237211683907918,0.22488517232239183,0.7705865744627447,0.30801231815596103,0.543320086323452,0.375042385335449,-0.29476432677300296,1.4881432616599137,0.19665932781500262,0.3214802779680329,0.452433914264637,-0.2957720527775474,0.2628423585831034,1.6986694121317942,6.661338147750939e-16,-1.1417172310675539
EQU24_RS16805,1.6689279229936496,1.9726669488209887,0.7707216289522001,-1.227536429292593,0.9622111020162578,0.42396865610496687,0.48462690576406225,1.0947405710067715,0.6797222839540904,1.0677665870700914,0.4235520866496345,-0.1473269865729648,1.4026806344351321,0.2204513382108959,0.5579236549098615,0.15586868303711587,-0.026889475188519956,0.5136149348073439,1.651361157062496,2.9605947323337506e-16,-0.7134259729753806
EQU24_RS16810,1.0341758382065915,1.1955420224410847,0.9330019562237504,-1.0988625681529383,0.8231343716674997,-0.17676095547439807,0.5275366791962985,0.325976983226119,0.5619384613595801,1.3283873166482523,0.18029548282033758,-0.8461398444224033,0.9868022941272909,0.2359287307488832,0.26882495841074716,0.34546365132256956,-2.59597125272082,0.0529725881291409,1.042687081277193,7.401486830834377e-17,-0.7591300617329841
EQU24_RS16815,-0.4278564575515773,-0.18016073458126236,1.2386383712295626,-0.2811860337998808,0.5056762940894852,-0.13985556696972137,0.02600955016142468,0.11103730245314258,0.16645111835172272,1.0030239267167693,-0.0033601540976175848,-0.8950387237982695,0.9482622049624949,0.22746997858479023,0.3382066869984717,0.271615790427663,-2.065173376355822,0.008079598076388679,1.135811476610145,-5.181040781584064e-16,-0.8760206402370697
EQU24_RS16820,1.6824930013804855,1.850025909387397,1.4816891765330076,-1.2486162982745257,0.9619790657324785,-0.15166153073713495,0.25889396763649797,0.31995214688633267,0.4263686815621737,1.3682852757527137,0.24526792001207998,-1.0088325635446682,1.1716694134086463,0.04409804509477533,0.5419512970164824,0.11085181569518261,-1.913406125993525,0.18769020498354688,1.4100618506690652,7.401486830834377e-17,-1.2100500745783958
EQU24_RS16825,0.7629912690717893,0.8486821265696296,1.257672902426778,-1.1414312853379016,0.9436052371575405,-0.051523141956467455,0.04947949605885107,0.14141566441254216,0.13865592247422603,1.205715520518805,-0.02997309487555544,-0.8526110122706643,1.1857887268242053,-0.011504901580342453,0.5003449416179077,0.04600279071295832,-3.1431389942936026,0.22563210139724912,1.1651426347327174,-1.4802973661668753e-16,-0.885300961923976
EQU24_RS16830,0.958433021559352,1.0486933835933958,1.328842785379106,-1.6910641978598355,0.9946403085569067,0.044558038973621095,0.08098649371859992,0.20080721866958795,0.09169957235580703,1.4548606968969047,-0.06965528942522337,-0.6756711529362587,1.2731685725781958,-0.19100984713007008,0.67038070761566,-0.17923884724515204,-2.8347491623245538,0.3462754325221925,1.546057170640303,-2.9605947323337506e-16,-1.7669309491829626
EQU24_RS16835,1.108774291256232,1.321125532400472,1.4811655482076542,-1.400086806047213,0.7442400810036462,-0.11970663072074868,0.18142881524429785,0.12643962553318389,0.299489926697718,1.1687808334798757,-0.010086240485589038,-0.9753536950761692,1.0044079862231028,-0.21340051453487985,0.49838561175907325,-0.2569521866037668,-2.437426482735051,0.12445803889903205,1.3091294919500212,-6.661338147750939e-16,-2.026170351263695
EQU24_RS16840,1.723102123372303,1.8855909886759519,1.9673071234858401,-1.5421704547105866,0.9615491467944213,-0.03897936029119009,0.038366391551978116,0.4979843382974871,0.4244730370391666,1.5180262949096104,0.22575501497532224,-0.9115176160787805,1.1661340287386321,-0.15305574866407834,0.5828181136541588,-0.23669454005667548,-2.10303748018493,0.18386499850629193,1.5867758217701917,-4.440892098500626e-16,-2.433278562175137
EQU24_RS16845,1.4188671318625716,1.5896148586577885,1.790529730608898,-0.85007796504895,0.31997978255476744,0.010957260622658005,0.049323105760209526,0.23325123920520552,0.16106591309674273,1.5148165713182205,-0.12876113542904966,-0.8786980779842957,0.699773273712935,-0.33667225297863024,0.5275214472297637,-0.23060999734516083,-2.2365412413523784,0.1688327883552363,1.2012779696166258,-1.0362081563168128e-15,-2.613711294210521
EQU24_RS16850,-1.5474256851659725,-1.2143692342285486,-1.2873431206262684,-1.1960810411968448,-0.46107147470480414,-0.592725042197562,0.07305043632084515,-0.5203464073305533,-0.27143151843460933,-0.8174777661157462,0.14925040113933585,-0.15588527341043115,-0.11759384604610412,-0.7097262727354557,-0.5462616538156084,-0.19692988601793168,-3.356290160031754,-0.47856455154109084,-1.061743839554961,-1.5543122344752192e-15,-2.4533926642378923
EQU24_RS16855,-0.4312871272597496,-0.35757822601215583,-0.6495935741890628,-1.4886587445366983,0.08075793605265424,-0.19804419528048486,0.31505077322539066,-0.3673107327581566,0.11945836382156524,-0.13486560237570888,0.3991176928363269,0.02403457740961006,0.5489843178577538,-0.6118100082259328,-0.1003020991229937,-0.3821618315508564,-2.2181637255389934,-0.0814325512805236,-0.022311991875039183,3.7007434154171886e-16,-2.266802199959642
