model_desc	model_type	lr	sampler	data_aug	epoch_stop	best_val_loss	acc	mcc	mi_p	mi_r	mi_f1	ma_p	ma_r	ma_f1
CNN32_lr0.001_defaultSampler_mutation0.1	CNN32	0.001	default	mutation0.1	191	0.37535127147130387	0.9020172910662824	0.0	0.9020172910662824	0.9020172910662824	0.9020172910662824	0.30067243035542746	0.3333333333333333	0.31616161616161614
CNN128_lr0.001_defaultSampler_mutation0.1	CNN128	0.001	default	mutation0.1	257	0.37565268795153595	0.9020172910662824	0.0	0.9020172910662824	0.9020172910662824	0.9020172910662824	0.30067243035542746	0.3333333333333333	0.31616161616161614
Kmer3_lr0.001_defaultSampler_mutation0.1	Kmer3	0.001	default	mutation0.1	30	0.373383610839459	0.9020172910662824	0.0	0.9020172910662824	0.9020172910662824	0.9020172910662824	0.30067243035542746	0.3333333333333333	0.31616161616161614
Kmer6_lr0.001_defaultSampler_mutation0.1	Kmer6	0.001	default	mutation0.1	63	0.38884096350037745	0.9020172910662824	0.0	0.9020172910662824	0.9020172910662824	0.9020172910662824	0.30067243035542746	0.3333333333333333	0.31616161616161614
LinearDeep_lr0.01_rebalancedSampler_mutation0.1	LinearDeep	0.01	rebalanced	mutation0.1	9	0.5849136844148554	0.8443804034582133	0.016673421583759895	0.8443804034582133	0.8443804034582133	0.8443804034582133	0.3302277432712215	0.33768193113241035	0.33388060534986314
CNN32_lr0.01_rebalancedSampler_mutation0.1	CNN32	0.01	rebalanced	mutation0.1	50	0.5307071014852276	0.8242074927953891	-0.00042562844815062045	0.8242074927953891	0.8242074927953891	0.8242074927953891	0.3283068783068783	0.33022719204827833	0.32926397735314933
CNN128_lr0.01_rebalancedSampler_mutation0.1	CNN128	0.01	rebalanced	mutation0.1	30	0.5739518694300473	0.829971181556196	-0.025851200349423592	0.829971181556196	0.829971181556196	0.8299711815561959	0.3143882604152469	0.31953319133830316	0.31692701319687583
Kmer3_lr0.01_rebalancedSampler_mutation0.1	Kmer3	0.01	rebalanced	mutation0.1	65	0.7555000565581088	0.8501440922190202	0.03968827592916104	0.8501440922190202	0.8501440922190202	0.8501440922190202	0.34896063688633344	0.3526357827476039	0.3505241090146751
Kmer6_lr0.01_rebalancedSampler_mutation0.1	Kmer6	0.01	rebalanced	mutation0.1	9	0.484996870374817	0.8559077809798271	0.06429812444434359	0.8559077809798271	0.8559077809798271	0.8559077809798271	0.3580246913580247	0.35476570820021297	0.3553113553113553
LinearDeep_lr0.001_rebalancedSampler_mutation0.1	LinearDeep	0.001	rebalanced	mutation0.1	97	0.56951107690245	0.829971181556196	0.054615489334266486	0.829971181556196	0.829971181556196	0.8299711815561959	0.3441160809371672	0.3580049698260561	0.35006846188954815
CNN32_lr0.001_rebalancedSampler_mutation0.1	CNN32	0.001	rebalanced	mutation0.1	597	0.5544357694878702	0.8443804034582133	0.03357743059303807	0.8443804034582133	0.8443804034582133	0.8443804034582133	0.3487613113781338	0.35050585729499467	0.3493866105853487
CNN128_lr0.001_rebalancedSampler_mutation0.1	CNN128	0.001	rebalanced	mutation0.1	312	0.5618492596774692	0.8242074927953891	-0.01635714204741179	0.8242074927953891	0.8242074927953891	0.8242074927953891	0.3252190847127556	0.33022719204827833	0.32767355590885
Kmer3_lr0.001_rebalancedSampler_mutation0.1	Kmer3	0.001	rebalanced	mutation0.1	309	0.730910369745249	0.6974063400576369	0.03395384942211016	0.6974063400576369	0.6974063400576369	0.6974063400576369	0.3478998478998479	0.36693290734824285	0.33917055167055166
Kmer6_lr0.001_rebalancedSampler_mutation0.1	Kmer6	0.001	rebalanced	mutation0.1	113	0.49728445206320593	0.8472622478386167	0.053041709166877046	0.8472622478386167	0.8472622478386167	0.8472622478386167	0.3548122643056239	0.35157082002129925	0.3525053187587117
